"","Claytonia_virginiana","Anemone_hepatica","Grass_tuft","Trillium_grandifolium","Erythronium.trout.lily.","Acer_saccharum","Dicentra_cucularia","Bloodroot","Gallium_aparine","Ulmus_americana","Unknown_1","Unknown_2","Unknown_3.rannunculaceae.","Unknown_4","Dryopteris_marginalis","Ostrich_fern","Plantago_lanceolata","Violet","Rhamnus_frangula","Raspberry","Unknown_5","Unknown_6","Solidago_canadensis","Unknown_7","Dandelion","grass","viccia_cracca","herb_robert","thorny_ash","rhamnus_cathartica","rhubarb","Unknown_8","Unknown_9","maianthenum_racemosum"
"7o3",38,8,14,9,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7o1",29,7,22,30,10,10,22,4,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7o2",57,3,6,8,5,74,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7i3",22,0,10,0,16,0,0,0,17,88,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7i2",54,0,3,0,18,2,0,1,22,150,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7i1",44,0,0,0,7,0,0,0,21,133,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3i1",0,0,0,0,0,66,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3i2",0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3i3",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3o1",0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3o2",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3o3",0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1i3",0,0,4,0,0,6,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1i2",0,0,3,0,0,20,0,0,20,2,0,0,0,0,0,0,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1i1",0,0,0,0,0,8,0,0,17,1,0,0,0,15,0,1,0,1,7,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
"1o1",0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"1o2",0,0,0,0,0,17,0,0,2,6,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1o3",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"13o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198,0,0,0,0,0,0,0,0
"13o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,239,2,0,0,0,0,0,0,0
"13o3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0
"13i2",11,0,0,0,20,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,12,0,14,36,0,9,0,0,0,0,0,0
"13i1",0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,27,0,18,0,9,91,0,6,8,1,1,0,0,0
"13i3",0,0,2,0,26,0,0,0,0,0,0,0,0,7,0,0,0,17,2,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0
"14o2",5,0,0,0,7,16,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0
"14o1",0,0,0,0,12,13,0,0,41,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,0,0
"14o3",1,0,0,0,22,19,0,0,21,3,0,0,0,2,0,0,0,0,0,4,13,0,0,0,0,0,0,18,1,0,0,0,0,0
"14i2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,1,0,0,0,2,0,0
"14i1",7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0
"14i3",37,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,30,0,5,4,0,0,0,0,4
